cues,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
lune,filant,solstice,rougeoyer,illuminer,lunaire,brouillard,obscur,lueur,dormir,vent
cause,circonstance,causer,provoquer,provoquer,conséquence,grave,fait,conséquence,circonstance,circonstance
cause,pouvoir,nier,survenir,brutal,répercussion,subir,être,engendrer,sorte,conséquent
table,convive,asseoir,salière,salière,rond,rectangulaire,asseoir,ronde,assiette,verre
table,délicieux,agenouiller,coupelle,soupière,piétement,rangée,roulant,fauteuil,pique-nique,asseoir
toit,mansarde,pilotis,bardeau,mansarde,auvent,cheminée,balcon,toiture,balcon,bâtiment
toit,balcon,poteau,pisé,rez-de-chaussée,terrasse,poutre,étage,construction,parking,construire
jeunesse,sportif,citoyenneté,loisir,jeune,enfance,sportif,éducateur,jeune,enfance,populaire
jeunesse,scolaire,éducatif,extrascolaire,jeune,ados,animation,adolescent,parent,garçon,culturel
nord,sud-ouest,nord-sud,méridional,sud-ouest,nord-est,région,région,sud,atlantique,amérique
nord,montagneux,nord-sud,péninsule,sud-ouest,sud,province,atlantique,méridional,vallée,amérique
direction,ministère,responsable,sous-directeur,sous-directeur,charger,secrétariat,secrétariat,charger,mission,mission
direction,régional,exécutif,secrétaire,général,directeur-adjoint,vice-président,délégué,vice-président,territorial,départemental
mer,ionienne,baigner,marin,plage,rivage,marin,bord,rivage,baie,marin
mer,baltique,calme,maritime,sable,océan,plaisance,étang,plage,rive,côte
objet,caractéristique,définir,élément,élément,constitutif,définir,constitutif,forme,distinct,procéder
objet,caractéristique,préciser,dimension,différent,résulter,spécifier,comporter,définir,adéquat,établir
appel,appelant,demande,interjeter,procédure,procédure,lancer,procédure,offre,offre,service
appel,litigieux,fixer,cour,décision,procédure,développement,compétent,fournisseur,cotisation,solliciter
lutte,solidarité,social,combat,mobilisation,politique,répression,solidarité,combattre,mobilisation,combat
lutte,solidaire,économie,opposer,action,gouvernement,gouvernement,promouvoir,redoutable,engagement,attaquer
mari,tante,épouser,mère,fille,marier,femme,amant,fille,mère,fils
mari,frère,neveu,oncle,garçon,mère,fils,amour,frère,neveu,fils
vin,dégustation,liquoreux,aligoté,dégustateur,dégustateur,dégustation,vignoble,vigneron,vigne,verre
vin,sommelier,vigne,chambertin,gustatif,viticole,goûter,saveur,vigne,régal,fleur
rôle,facilitateur,institutionnel,facilitateur,importance,acteur,implication,implication,acteur,prépondérant,acteur
rôle,médiateur,sociétal,enjeu,nécessité,implication,évolution,problématique,problématique,aborder,acteur
horizon,émerger,esquisser,lointain,vaste,avenir,perspective,ambition,profiler,vaste,avenir
horizon,actuel,distancier,immensité,ambitionner,ambition,problématique,projet,émerger,multitude,vision
jambe,poignet,coude,épaule,bras,nuque,pied,bras,bras,fesse,courir
jambe,nuque,coude,nuque,doigt,genou,patte,poitrine,poitrine,trembler,monter
page,cliquer,revue,imprimer,navigation,bibliographie,numéro,bibliographie,imprimer,cliquer,navigation
page,adresse,éditer,sélectionner,site,sommaire,consulter,ouvrage,téléchargement,affichage,internet
fil,bobine,connecter,filaire,billet,billet,bobine,conducteur,commentaire,actualité,actualité
fil,condensateur,identifiant,réseau,janvier,lire,connecteur,volant,dimanche,accessible,rubrique
soeur,tante,jumeau,mère,mari,mari,tante,cousin,mère,aîné,famille
soeur,tante,fils,aîné,grand-père,nièce,marier,aîné,fils,marier,familial
preuve,indiscutable,véracité,probant,indiscutable,irréfutable,honnêteté,fait,démontrer,prétendre,convaincre
preuve,fait,infirmer,convaincant,affirmer,incontestable,contradiction,ignorer,prétendre,sembler,croire
morceau,mélodie,sonorité,planant,remixer,sample,mélodique,album,mélodie,solo,oreille
morceau,jazzy,guitare,entraînant,chanson,sonorité,guitariste,musique,sonorité,jazz,sortir
gauche,bipartisme,gaulliste,présidentiel,parti,centriste,progressiste,électeur,socialiste,électeur,communiste
gauche,bipartisme,bonapartiste,présidentiel,social-démocrate,démocrate,démocratie,scrutin,électeur,suffrage,politique
doigt,lèvre,lèvre,bout,main,bras,pincer,bras,nez,bout,main
doigt,nuque,nuque,patte,hanche,pied,glisser,épaule,visage,cuisse,asseoir
garçon,copain,parent,jeune,gamin,mère,soeur,gamin,gamin,père,parent
garçon,petite-fille,enseigner,enfant,gars,fillette,maman,papa,papa,cousin,parent
façon,sorte,permettre,supposer,évident,évident,fait,fait,manière,pouvoir,supposer
façon,raison,permettre,supposer,penser,même,seul,fait,agir,croire,être
chambre,spacieux,bain,canapé-lit,petit-déjeuner,meubler,gîte,gîte,spacieux,gîte,bureau
chambre,balcon,piscine,bain,restaurant,cuisinette,séjour,séjour,verdoyant,jardin,bureau
question,problème,discussion,aborder,répondre,répondre,problème,questionnement,réponse,sujet,débat
question,appréhender,souhaiter,soulever,demander,répondre,enjeu,réfléchir,réponse,analyser,perspective
acte,civil,jugement,nullité,consentement,jugement,filiation,pénal,civil,pénal,autorité
acte,civil,pourvoi,pénal,olographe,recours,distinction,infraction,tribunal,commission,recours
rose,pétale,rouge,jaune,bleu,violet,rouge,joli,violet,fleur,beau
rose,campanule,colorer,orangé,mauve,fleur,rouge,marron,jaune,superbe,sourire
oncle,tante,mère,tante,grand-père,cousin,frère,fils,tante,mère,mourir
oncle,soeur,soeur,fils,grand-père,cousin,épouser,mari,grand-mère,garçon,mourir
herbe,sous-bois,brouter,gazon,gazon,pelouse,plante,végétation,prairie,caillou,terre
herbe,roncier,talus,feuillage,tonte,haie,cultiver,sol,plain,hameau,soleil
faim,manger,fringale,rassasier,famine,rassasier,soif,appétit,affamer,famine,tuer
faim,bouffer,bouffer,appétit,dénuement,rassasier,finir,appétit,nourriture,venger,croire
école,enseignement,enseigner,maternel,élève,élève,enseignement,enseignant,primaire,lycée,lycée
école,pédagogique,éducatif,élémentaire,apprentissage,enseignant,enseigner,classe,collège,discipline,pédagogique
lit,matelas,lavabo,dormir,drap,canapé-lit,allonger,toilette,drap,coucher,asseoir
lit,pelotonner,lave-vaisselle,rendormir,traversin,chambre,lever,asseoir,linge,soir,tête
masse,pesanteur,surface,quantité,quantité,volumique,inertie,poids,faible,prolétariat,phénomène
masse,dynamomètre,comparable,nombre,ingérer,enthalpie,cinétique,concentration,réduire,considération,observer
flamme,feu,fumée,feu,enflammer,enflammer,lueur,fumée,étincelle,éteindre,instant
flamme,rougeoyant,palpiter,incandescent,incandescent,enflammer,brume,cheminée,éteindre,splendeur,amoureux
lèvre,commissure,mordiller,visage,commissure,commissure,caresser,sourire,sourire,visage,bras
lèvre,moue,endormir,fluet,paupière,paupière,caresser,visage,sourire,jambe,instant
passage,franchissement,descendre,descente,demi-tour,descente,passer,traverser,traverser,descente,passer
passage,pente,descendre,grimpette,slalomer,redescente,commencer,pont,emprunter,grimper,sortir
principe,fondement,nécessité,appliquer,énoncer,découler,législateur,appliquer,fondamental,découler,appliquer
principe,doctrine,convenir,prévaloir,déterminer,découler,considérer,définir,fonder,article,directive
sens,signification,agir,pensée,intuition,signifier,signification,signifier,pensée,signifier,logique
sens,subjectivité,convenir,philosophique,philosophique,signifier,pouvoir,agir,dialectique,raison,logique
habitude,chose,aller,changer,faire,faire,faire,surtout,surtout,faire,essayer
habitude,dire,espérer,croire,contenter,faire,chose,pareil,vouloir,pareil,falloir
passion,émotion,aimer,bonheur,amour,plaisir,amour,partager,amour,joie,amoureux
passion,angoisse,tristesse,plaisir,bonheur,merveilleux,émerveiller,partager,heureux,embrasser,désir
désir,inassouvi,amour,pulsion,âme,amour,amour,âme,sentiment,esprit,pensée
désir,instinctuel,émotion,conscience,divin,amour,humilité,âme,angoisse,éternité,dieu
larme,triste,triste,triste,pleur,tristesse,tristesse,émouvoir,pleur,émouvoir,rire
larme,désespoir,aller,consoler,gémissement,amour,aimer,aimer,triste,croire,aimer
vache,bouse,bête,cochon,meugler,cochon,bovin,bovin,fou,veau,gros
vache,tétée,basse-cour,truie,meugler,porc,élevage,volaille,marrer,poulet,dormir
début,achever,mi-février,commencer,commencer,dernier,période,commencer,fin,premier,terminer
début,entamer,mi-août,entamer,attendre,mi-octobre,mois,arriver,terminer,repartir,prochain
pierre,alain,rocher,joseph,claude,marc,abbé,alain,jacques,marc,robert
pierre,isabelle,rocheux,marcel,joseph,marc,jésuite,claude,isabelle,sylvain,monsieur
visage,sourire,décharner,impassible,sourire,buriner,contempler,lèvre,sourire,sourire,peau
visage,rire,pâle,exorbité,rigoler,décharner,tendresse,tête,soupirer,émouvoir,soleil
arbre,arbrisseau,conifère,frondaison,branchage,frondaison,forêt,forêt,arbuste,chêne,plante
arbre,retombant,houx,branchage,espalier,frondaison,fleuve,pelouse,feuillage,falaise,espèce
position,positionnement,inverse,positionnement,opposer,point,dominant,positionnement,positionner,dominant,droite
position,développer,signifier,repositionner,prétendre,inverse,contradictoire,global,articuler,prétendre,politique
avis,commission,délibération,conseil,compétent,compétent,demande,défavorable,consultatif,commission,compétent
avis,formuler,instruction,approbation,notification,notifier,comité,défavorable,délégué,siéger,instance
