cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10
principe_nb_occurrences,1,1,1,1,1,1,1,1,1,1
sens,esprit,conceptualiser,intentionnalité,théorisation,évident,agir,exister,kantien,ontologique,intrinsèquement
sens_nb_occurrences,1,1,1,1,1,1,1,1,1,1
habitude,habituer,vrai,simplement,penser,malheureusement,justement,même,essayer,arriver,faire
habitude_nb_occurrences,1,1,1,1,1,1,1,1,1,1
passion,aimer,gaieté,désir,indifférence,rêver,volage,adepte,passionnément,candeur,goûts
passion_nb_occurrences,1,1,1,1,1,1,1,1,1,1
désir,attirance,kleinien,traumdeutung,propre,charnel,surmoi,ambivalence,émotif,intériorité
désir_nb_occurrences,2,1,1,1,1,1,1,1,1
larme,émouvoir,blême,susurrer,impassible,sentiment,crier,désespoir,yeux,meurtrir,gémissement
larme_nb_occurrences,1,1,1,1,1,1,1,1,1,1
vache,engraissement,éleveurs,butyreux,lactation,gratin,broutard,tarine,laitier,agnelle
vache_nb_occurrences,2,1,1,1,1,1,1,1,1
début,débuter,abord,passer,finalement,retarder,premier,avoir,durer,étayer,jusqu'en
début_nb_occurrences,1,1,1,1,1,1,1,1,1,1
pierre,ancien,suroccuper,balarello,dallage,sculpter,andré,henri,sarcophage,zehrfuss,ériger
pierre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
visage,démaquillage,revitalisant,nimber,embrasser,frotter,blush,exfolier,embellisseur,détoxifiant,sourcil
visage_nb_occurrences,1,1,1,1,1,1,1,1,1,1
arbre,conifère,alnus,laricio,cultivar,cabane,arbrisseau,cotoneaster,grimpant,aquifolium,arbuste
arbre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
position,être,supposer,conséquence,définir,considérer,opposer,divlecteur,hidden,perpendicularité,permettre
position_nb_occurrences,1,1,1,1,1,1,1,1,1,1
avis,rapport,éventuel,part,réexpédier,condition,défavorable,formuler,conseil,octroi,adopter
avis_nb_occurrences,1,1,1,1,1,1,1,1,1,1
